trait,wave_feature,beta,pval,r2,correlation,n_overlap
sleepy_accident,lead6_level1_energy,-0.019867819389229255,0.9031746607714829,2.2163612056758097e-07,-0.00047078245433700725,66775
sleepy_accident,lead7_level6_approx_energy,-0.1119580527718378,0.4930110108451501,7.038024972927381e-06,-0.002652927623012961,66775
sleepy_accident,lead7_level6_energy,-0.15215597627080849,0.3515102015846081,1.2999245940892301e-05,-0.0036054467049186707,66775
sleepy_accident,lead7_level5_energy,-0.15829215467588306,0.3324271576274306,1.4068860137106398e-05,-0.003750847922495503,66775
sleepy_accident,lead7_level4_energy,-0.1866583332660613,0.25306901174723323,1.9562974903797326e-05,-0.004423005189240409,66775
sleepy_accident,lead7_level3_energy,-0.1798118652415446,0.2708945806673084,1.8154187764740648e-05,-0.004260773141677673,66775
sleepy_accident,lead7_level2_energy,-0.14316836685746043,0.3806866790539555,1.1508912084567946e-05,-0.0033924787523041734,66775
sleepy_accident,lead7_level1_energy,-0.20730189304829597,0.204323154211208,2.4129407992345975e-05,-0.004912169377324479,66775
sleepy_accident,lead8_level6_approx_energy,-0.0534374951992024,0.7435155634083315,1.6033646953461655e-06,-0.001266240378505815,66775
sleepy_accident,lead8_level6_energy,0.0249230026767677,0.878709636959335,3.48771396097014e-07,0.0005905687050878617,66775
sleepy_accident,lead8_level5_energy,0.13870352044889406,0.39571827921896885,1.080227175898063e-05,0.003286680963967003,66775
sleepy_accident,lead8_level4_energy,0.19362264697411927,0.23579202503058277,2.105001630858805e-05,0.004588029676126477,66775
sleepy_accident,lead8_level3_energy,0.211325300275509,0.19567692231035627,2.5075125780982255e-05,0.005007506942666563,66775
sleepy_accident,lead8_level2_energy,0.005413119653461726,0.9735590495860615,1.6452632700669767e-08,0.00012826781370170527,66775
sleepy_accident,lead8_level1_energy,0.02446150588255885,0.8809386561695906,3.3597464998980087e-07,0.0005796332023439617,66775
sleepy_accident,lead9_level6_approx_energy,-0.15012309628472406,0.35798238731331966,1.2654213484175614e-05,-0.0035572761326745656,66775
sleepy_accident,lead9_level6_energy,-0.13806068769574453,0.39791162667317115,1.070237576894506e-05,-0.003271448573570914,66775
sleepy_accident,lead9_level5_energy,-0.1192658906177589,0.465222545074627,7.986796922709871e-06,-0.002826092164606522,66775
sleepy_accident,lead9_level4_energy,-0.1579752912356688,0.33339588466728953,1.401259145428213e-05,-0.0037433396124413694,66775
sleepy_accident,lead9_level3_energy,-0.35685344201853575,0.028883278177233542,7.150228336938458e-05,-0.00845590228000428,66775
